year,station,total_crime,contact_related_crime,crimes_against_property,other_serious_crimes,contact_crime,crimes_dependent_on_police_action_for_detention,total_crime_excl_police,crimes_against_property_log,contact_crime_log,contact_related_crime_log,other_serious_crimes_log,crimes_dependent_on_police_action_for_detention_log,total_crime_log,total_crime_excl_police_log,treated,year_numeric,post,did
2015/2016,bethanie,681,36,142,69,176,294,387,4.962844630259907,5.176149732573829,3.6109179126442243,4.248495242049359,5.68697535633982,6.525029657843462,5.961005339623274,0,2015,1,0
2015/2016,boitekong,3971,243,861,655,1594,861,3110,6.759255270663693,7.374629015218945,5.497168225293202,6.486160788944089,6.759255270663693,8.287025025165063,8.042699496897637,0,2015,1,0
2015/2016,boons,143,13,47,32,55,9,134,3.871201010907891,4.02535169073515,2.6390573296152584,3.4965075614664802,2.302585092994046,4.969813299576001,4.90527477843843,0,2015,1,0
2015/2016,lethabong,595,36,132,42,209,212,383,4.890349128221754,5.3471075307174685,3.6109179126442243,3.7612001156935624,5.3612921657094255,6.39024066706535,5.950642552587727,0,2015,1,0
2015/2016,marikana,1081,60,220,355,358,148,933,5.3981627015177525,5.883322388488279,4.110873864173311,5.87493073085203,5.003946305945459,6.9865664594064265,6.839476438228843,1,2015,1,1
2015/2016,phokeng,2596,138,757,730,865,244,2352,6.630683385642372,6.763884908562435,4.9344739331306915,6.594413459749778,5.501258210544727,7.862112211662748,7.763446388727362,0,2015,1,0
2015/2016,rustenburg,10134,441,3286,3058,2341,1449,8685,8.097730573664219,7.758760544157663,6.091309882077698,8.025843344150903,7.27931883541462,9.2237500588861,9.069467813094768,0,2015,1,0
2015/2016,tlhabane,2416,88,735,250,592,839,1577,6.601230118728877,6.385194398997726,4.48863636973214,5.5254529391317835,6.733401891837359,7.790282380703483,7.363913501405819,0,2015,1,0
2016/2017,bethanie,700,31,153,96,166,285,415,5.0369526024136295,5.117993812416755,3.4657359027997265,4.574710978503383,5.655991810819852,6.55250788703459,6.030685260261263,0,2016,0,0
2016/2017,boitekong,3789,274,803,568,1657,761,3028,6.6895992691789665,7.4133673356952405,5.616771097666572,6.343880434126331,6.635946555686647,8.240121298076472,8.015987811027237,0,2016,0,0
2016/2017,boons,170,17,73,39,38,20,150,4.30406509320417,3.6635616461296463,2.8903717578961645,3.6888794541139363,3.044522437723423,5.14166355650266,5.017279836814924,0,2016,0,0
2016/2017,lethabong,628,43,160,56,204,208,420,5.081404364984463,5.3230099791384085,3.784189633918261,4.04305126783455,5.342334251964811,6.444131256700441,6.042632833682381,0,2016,0,0
